,Ingredients,Amount,Measure,Item
2071,Kosher salt and black pepper,,, Kosher salt and black pepper
2072,"1/2 pound cremini mushrooms, stemmed and quartered (or cut into sixths if large)",0.5 lb,pound,cremini mushrooms
2073,4 tablespoons unsalted butter,4 tbsp.,tablespoon,unsalted butter
2074,"1 large yellow onion, finely chopped",1 ,unit,large yellow onion
2075,"1/4 pound lacinato kale, stemmed, leaves thinly sliced crosswise",0.25 lb,pound,lacinato kale
2076,"4 garlic cloves, chopped",,, 4 garlic cloves
2077,1 tablespoon fresh thyme leaves,1 tbsp.,tablespoon,fresh thyme leaves
2078,2 teaspoons chopped fresh rosemary,2 tsp.,teaspoon,chopped fresh rosemary
2079,"1/4 cup all-purpose flour, plus more for dusting",0.25 cup,cup,all purpose flour
2080,1 1/2 cups chicken or vegetable stock,1.5 cup,cup,chicken or vegetable stock
2081,3/4 cup heavy cream,0.75 cup,cup,heavy cream
2082,"1 cup diced peeled carrots (from 2 medium carrots, cut into 1/2-inch pieces)",1 cup,cup,diced peeled carrots ( from 2 medium carrots
2083,"1 cup diced peeled parsnips (from 2 medium parsnips, cut into 1/2-inch pieces)",1 cup,cup,diced peeled parsnips ( from 2 medium parsnips
2084,"1 cup diced red potatoes (from 2 small potatoes, cut into 1/2-inch pieces)",1 cup,cup,diced red potatoes ( from 2 small potatoes
2085,"1 (14- to 16-ounce) package puff pastry, thawed",,,14.0 16 ounce ) package puff pastry
2086,1 large egg,1 ,unit,large egg
2087,5 cups chicken or vegetable stock,5 cup,cup,chicken or vegetable stock
2088,1 cup heavy cream,1 cup,cup,heavy cream
2089,"2 teaspoons dried porcini mushroom powder, optional (see Tip)",2 tsp.,teaspoon,dried porcini mushroom powder
2090,4 teaspoons fresh thyme leaves,4 tsp.,teaspoon,fresh thyme leaves
2091,Kosher salt,,, Kosher salt
2092,1/3 cup olive oil,0.333333 cup,cup,olive oil
2093,"1 1/2 pounds mixed fresh mushrooms, such as shiitake and cremini, finely chopped into 1/4-inch pieces",1.5 lb,pound,mixed fresh mushrooms
2094,"3 shallots, finely chopped",3 ,unit,shallots
2095,"4 garlic cloves, finely chopped",,, 4 garlic cloves
2096,Black pepper,,, Black pepper
2097,1/3 cup port or marsala wine,0.333333 cup,cup,port or marsala wine
2098,1 pound spaghettini or angel hair pasta,1 lb,pound,spaghettini or angel hair pasta
2099,2 tablespoons extra-virgin olive oil,2 tbsp.,tablespoon,extra virgin olive oil
2100,"1 yellow onion, finely diced",1 ,unit,yellow onion
2101,Salt,,, Salt
2102,"1 1/2 pounds mixed mushrooms (oyster, shiitake, cremini or button), stemmed and sliced into 1/4-inch pieces",1.5 lb,pound,mixed mushrooms ( oyster
2103,2 sprigs fresh thyme,2 ,unit,sprigs fresh thyme
2104,"2 garlic cloves, finely chopped",,, 2 garlic cloves
2105,1/2 cup white wine,0.5 cup,cup,white wine
2106,1 cup vegetable stock,1 cup,cup,vegetable stock
2107,2 tablespoons soy sauce,2 tbsp.,tablespoon,soy sauce
2108,1 1/2 teaspoons Dijon mustard,1.5 tsp.,teaspoon,Dijon mustard
2109,1/2 cup crème fraîche or sour cream,0.5 cup,cup,crème fraîche or sour cream
2110,Black pepper,,, Black pepper
2111,"Sweet paprika, for dusting",,, Sweet paprika
2112,"Handful of chopped parsley leaves, for serving",,, Handful of chopped parsley leaves
2113,"Mashed potatoes, wide egg noodles or rice, for serving",,, Mashed potatoes
2114,6 tablespoons unsalted butter or extra-virgin olive oil,6 tbsp.,tablespoon,unsalted butter or extra virgin olive oil
2115,"1 1/4 pounds mixed mushrooms (such as cremini, oyster, chanterelles and shiitake), chopped",1.25 lb,pound,mixed mushrooms ( such as cremini
2116,"1/2 pound shallots, finely diced",0.5 lb,pound,shallots
2117,1 tablespoon tomato paste,1 tbsp.,tablespoon,tomato paste
2118,2 teaspoons chopped fresh thyme leaves,2 tsp.,teaspoon,chopped fresh thyme leaves
2119,1 1/2 teaspoons ground cumin,1.5 tsp.,teaspoon,ground cumin
2120,1 teaspoon ground coriander,1 tsp.,teaspoon,ground coriander
2121,3/4 teaspoon ground cinnamon,0.75 tsp.,teaspoon,ground cinnamon
2122,Pinch ground allspice,,, Pinch ground allspice
2123,"2 1/2 teaspoons kosher salt, more to taste",2.5 tsp.,teaspoon,kosher salt
2124,1 teaspoon black pepper,1 tsp.,teaspoon,black pepper
2125,5 ounces baby spinach,5 oz,ounce,baby spinach
2126,"Fresh lime juice, to taste",,, Fresh lime juice
2127,"Plain yogurt, for serving (optional)",,, Plain yogurt
2128,"2 boneless, skinless chicken thighs (about 7 ounces total), cut into bite-size cubes",2 ,unit,boneless
2129,"1/4 teaspoon sea salt and a scant 1/8 teaspoon white pepper, plus more as needed",0.25 tsp.,teaspoon,sea salt and a scant 1/8 teaspoon white pepper
2130,3 tablespoons coconut oil or sunflower oil,3 tbsp.,tablespoon,coconut oil or sunflower oil
2131,"2 shallots, preferably Thai, or 1 small banana shallot, peeled and thinly sliced",2 ,unit,shallots
2132,"1 (3-inch) piece fresh galangal (or ginger), peeled and woody stem removed, finely chopped",,, 1 (3 inch) piece fresh galangal (or ginger)
2133,"2 garlic cloves, peeled and thinly sliced",,, 2 garlic cloves
2134,"1 cup green beans, chopped",1 cup,cup,green beans
2135,"2 scallions, chopped into large chunks",2 ,unit,scallions
2136,1/4 teaspoon ground turmeric,0.25 tsp.,teaspoon,ground turmeric
2137,"3 1/2 ounces uncooked jasmine or basmati rice, cooked and cooled (about 3 cups)",3.5 oz,ounce,uncooked jasmine or basmati rice
2138,2 tablespoons store-bought or homemade kecap manis (see Note for recipe),2 tbsp.,tablespoon,store bought or homemade kecap manis ( see Note for recipe )
2139,2 teaspoons light soy sauce,2 tsp.,teaspoon,light soy sauce
2140,1 1/2 teaspoons fish sauce,1.5 tsp.,teaspoon,fish sauce
2141,"2 large eggs, or duck eggs",2 ,unit,large eggs
2142,1 tablespoon store-bought or homemade crisp fried shallots,1 tbsp.,tablespoon,store bought or homemade crisp fried shallots
2143,"1/2 long red chile, such as cayenne, thinly sliced",0.5 ,unit,long red chile
2144,"Prawn crackers, for serving",,, Prawn crackers
2145,6 large eggs,6 ,unit,large eggs
2146,Kosher salt (such as Diamond Crystal) and black pepper,,, Kosher salt (such as Diamond Crystal) and black pepper
2147,4 large (about 10-inch) flour tortillas,4 ,unit,large ( about 10 inch ) flour tortillas
2148,"6 tablespoons neutral oil (such as grapeseed or canola), plus more as needed",6 tbsp.,tablespoon,neutral oil ( such as grapeseed or canola )
2149,15 to 16 ounces frozen shredded hash browns,15 oz,ounce,frozen shredded hash browns
2150,"1 small yellow onion, finely chopped",1 ,unit,small yellow onion
2151,4 ounces grated Cheddar or Monterey Jack cheese (about 1 cup),4 oz,ounce,grated Cheddar or Monterey Jack cheese ( about 1 cup )
2152,2 tablespoons unsalted butter,2 tbsp.,tablespoon,unsalted butter
2153,"1/2 cup roasted, chopped New Mexico green chiles (see Tip)",0.5 cup,cup,roasted
2154,"3 1/3 cups/430 grams all-purpose or bread flour, plus more for dusting",3.33333 ,unit,cups/430 grams all purpose or bread flour
2155,Generous 1/4 teaspoon/1 gram instant yeast,,, Generous 1/4 teaspoon/1 gram instant yeast
2156,2 teaspoons/8 grams kosher salt,2 ,unit,teaspoons/8 grams kosher salt
2157,"Cornmeal or wheat bran, as needed",,, Cornmeal or wheat bran
2158,"6 cups kombu stock, chicken stock or vegetable stock",6 cup,cup,kombu stock
2159,Soy sauce or salt to taste,,, Soy sauce or salt to taste
2160,"6 ounces Japanese soba noodles, cooked and tossed with 2 teaspoons sesame oil",6 oz,ounce,Japanese soba noodles
2161,"6 fresh shiitake mushrooms, stemmed and thinly sliced (simmer stems in stock for 20 minutes, remove them and discard), or 6 cremini mushrooms, trimmed and thinly sliced",6 ,unit,fresh shiitake mushrooms
2162,"12 to 16 ounces salmon fillet without skin, trimmed of fat and cut into 4 equal pieces",12 oz,ounce,salmon fillet without skin
2163,"1 large bunch spinach, stemmed, washed in 2 changes of water and coarsely chopped (about 6 cups) or 1 6-ounce bag baby spinach, rinsed",1 ,unit,large bunch spinach
2164,"1 bunch scallions, thinly sliced, light and dark green parts kept separate Cilantro leaves and sprigs for garnish",1 bunch,bunch,scallions
2165,1/3 cup/65 grams granulated sugar,0.333333 ,unit,cup/65 grams granulated sugar
2166,1/3 cup/30 grams unsweetened cocoa powder,,, 1/3 cup/30 grams unsweetened cocoa powder
2167,2 tablespoons cornstarch,2 tbsp.,tablespoon,cornstarch
2168,1/8 teaspoon fine sea salt,0.125 tsp.,teaspoon,fine sea salt
2169,"2 cups/480 milliliters nondairy milk, preferably oat",2 ,unit,cups/480 milliliters nondairy milk
2170,"3 to 4 ounces/85 to 115 grams bittersweet bar chocolate, finely chopped (see Tip 1)",3 ,unit,to 4 ounces/85 to 115 grams bittersweet bar chocolate
2171,1 teaspoon vanilla extract,1 tsp.,teaspoon,vanilla extract
2172,Kosher salt and black pepper,,, Kosher salt and black pepper
2173,"1 pound short pasta, like orecchiette, cavatelli, fusilli or elbows",1 lb,pound,short pasta
2174,1/2 cup extra-virgin olive oil,0.5 cup,cup,extra virgin olive oil
2175,2 cups chopped walnuts,2 cup,cup,chopped walnuts
2176,"1 1/4 cups Castelvetrano olives (or a mixture of green olives), pitted and torn",1.25 cup,cup,Castelvetrano olives ( or a mixture of green olives )
2177,"1 small garlic clove, peeled",1 ,unit,small garlic clove
2178,"1 lemon, zested and juiced (about 3 tablespoons juice)",1 ,unit,lemon
2179,3 large eggs,3 ,unit,large eggs
2180,"Large pinch fine sea salt, to taste",,, Large pinch fine sea salt
2181,"Freshly ground black pepper, to taste",,, Freshly ground black pepper
2182,"1 to 2 teaspoons minced fresh herbs, such as parsley, tarragon, chives or a combination (optional)",1 tsp.,teaspoon,minced fresh herbs
2183,1 tablespoon unsalted butter,1 tbsp.,tablespoon,unsalted butter
2184,2 pints cherry tomatoes,2 pt.,pint,cherry tomatoes
2185,"5 garlic cloves, peeled and left whole",,, 5 garlic cloves
2186,5 thyme sprigs,5 ,unit,thyme sprigs
2187,2 rosemary sprigs,2 ,unit,rosemary sprigs
2188,1 1/2 teaspoons kosher salt,1.5 tsp.,teaspoon,kosher salt
2189,"1/2 cup extra-virgin olive oil, plus more for serving",0.5 cup,cup,extra virgin olive oil
2190,8 ounces feta,8 oz,ounce,feta
2191,"1/2 teaspoon black pepper, plus more for serving",0.5 tsp.,teaspoon,black pepper
2192,Pinch of red-pepper flakes,,, Pinch of red pepper flakes
2193,"12 ounces short pasta, such as farfalle, campanelle, rotini or cavatappi",12 oz,ounce,short pasta
2194,3 cups boiling water,3 cup,cup,boiling water
2195,1 cup torn basil leaves,1 cup,cup,torn basil leaves
2196,"Flaky sea salt, for serving",,, Flaky sea salt
2197,1 pound elbow macaroni,1 lb,pound,elbow macaroni
2198,"1 pound broccoli, stem and florets coarsely chopped",1 lb,pound,broccoli
2199,2 1/2 cups whole milk,2.5 cup,cup,whole milk
2200,"2 teaspoons kosher salt, plus more to taste",2 tsp.,teaspoon,kosher salt
2201,1/2 teaspoon garlic powder,0.5 tsp.,teaspoon,garlic powder
2202,8 ounces coarsely grated sharp Cheddar (about 2 cups),8 oz,ounce,coarsely grated sharp Cheddar ( about 2 cups )
2203,Black pepper,,, Black pepper
2204,Kosher salt,,, Kosher salt
2205,"1 pound short, ribbed pasta, like gemelli or penne",1 lb,pound,short
2206,1 cup whole-milk ricotta (8 ounces),1 cup,cup,whole milk ricotta ( 8 ounces )
2207,"1 cup freshly grated Parmesan or pecorino (2 ounces), plus more for serving",1 cup,cup,freshly grated Parmesan or pecorino ( 2 ounces )
2208,1 tablespoon freshly grated lemon zest plus 1/4 cup lemon juice (from 1 to 2 lemons),1 tbsp.,tablespoon,freshly grated lemon zest plus 1/4 cup lemon juice ( from 1 to 2 lemons )
2209,Black pepper,,, Black pepper
2210,"Red-pepper flakes, for serving",,, Red pepper flakes
2211,"1/4 cup thinly sliced or torn basil leaves, for serving (optional)",0.25 cup,cup,thinly sliced or torn basil leaves
2212,1 tablespoon olive oil,1 tbsp.,tablespoon,olive oil
2213,"2 sweet or hot Italian sausages (5 to 6 ounces), casings removed",2 oz,ounce,)
2214,1 (24-ounce) jar passata or (28-ounce) can crushed tomatoes,24 oz,ounce,jar passata or ( 28 ounce ) can crushed tomatoes
2215,1/2 teaspoon ground cumin,0.5 tsp.,teaspoon,ground cumin
2216,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
2217,Kosher salt,,, Kosher salt
2218,"1 pound cavatappi, fusilli or other small, tubular pasta",1 lb,pound,cavatappi
2219,5 packed cups baby spinach (about 5 ounces),5 cup,cup,baby spinach ( about 5 ounces )
2220,1/2 cup grated Parmesan,0.5 cup,cup,grated Parmesan
2221,2 3/4 cups vegetable stock,2.75 cup,cup,vegetable stock
2222,12 ounces medium pasta shells,12 oz,ounce,medium pasta shells
2223,"2 medium zucchini (about 14 ounces total), trimmed and cut into 1/2-inch cubes",2 ,unit,medium zucchini ( about 14 ounces total )
2224,"4 ounces mascarpone, crème fraîche or softened cream cheese",4 oz,ounce,mascarpone
2225,"1 large garlic clove, finely chopped",1 ,unit,large garlic clove
2226,1/3 packed cup thinly sliced basil,,, 1/3 packed cup thinly sliced basil
2227,Kosher salt and black pepper,,, Kosher salt and black pepper
2228,3 tablespoons chopped roasted salted almonds,3 tbsp.,tablespoon,chopped roasted salted almonds
2229,3 tablespoons chopped Italian parsley,3 tbsp.,tablespoon,chopped Italian parsley
2230,Kosher salt,,, Kosher salt
2231,12 ounces orecchiette,12 oz,ounce,orecchiette
2232,"2 slices day-old Italian bread, cut about 1/2-inch thick and torn into small pieces, or 1/2 cup panko bread crumbs",2 ,unit,slices day old Italian bread
2233,5 tablespoons olive oil,5 tbsp.,tablespoon,olive oil
2234,Zest and juice from 1/2 lemon,,, Zest and juice from 1/2 lemon
2235,2 tablespoons chopped Italian flat-leaf parsley,2 tbsp.,tablespoon,chopped Italian flat leaf parsley
2236,"2 shallots, sliced",2 ,unit,shallots
2237,"4 garlic cloves, sliced",,, 4 garlic cloves
2238,"4 ounces ’nduja, or fresh chorizo or pork sausage, casings removed",4 oz,ounce,’ nduja
2239,1 (14.5-ounce) can whole peeled tomatoes and their juices,14.5 oz,ounce,can whole peeled tomatoes and their juices
2240,"12 ounces shrimp, peeled and deveined, tails removed, meat finely chopped",12 oz,ounce,shrimp
2241,2 cups roughly chopped broccoli rabe (about 1/4 pound),2 cup,cup,roughly chopped broccoli rabe ( about 1/4 pound )
2242,Red-pepper flakes (optional),,, Red pepper flakes (optional)
2243,"2 1/4 pounds/1 kilogram skin-on Yukon Gold (or King Edward) potatoes, cut lengthwise into roughly 1/2-inch/1 1/2-centimeter-thick sticks",2.25 kg,kilogram,skin on Yukon Gold ( or King Edward ) potatoes
2244,2 teaspoons rice flour,2 tsp.,teaspoon,rice flour
2245,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
2246,Kosher salt,,, Kosher salt
2247,1 heaping tablespoon finely chopped fresh cilantro (coriander) or parsley stems (or a mixture of both),1 tbsp.,tablespoon,finely chopped fresh cilantro ( coriander ) or parsley stems ( or a mixture of both )
2248,1 1/2 tablespoons apple cider vinegar,1.5 tbsp.,tablespoon,apple cider vinegar
2249,3 tablespoons olive oil,3 tbsp.,tablespoon,olive oil
2250,1/3 cup/40 grams pine nuts,0.333333 ,unit,cup/40 grams pine nuts
2251,1/4 cup/30 grams roughly chopped blanched almonds,0.25 ,unit,cup/30 grams roughly chopped blanched almonds
2252,1 teaspoon light brown sugar,1 tsp.,teaspoon,light brown sugar
2253,1 teaspoon nigella seeds (or black sesame seeds),1 tsp.,teaspoon,nigella seeds ( or black sesame seeds )
2254,1 teaspoon Urfa chile flakes,1 tsp.,teaspoon,Urfa chile flakes
2255,1 teaspoon Aleppo chile flakes,1 tsp.,teaspoon,Aleppo chile flakes
2256,1/2 teaspoon hot smoked paprika,0.5 tsp.,teaspoon,hot smoked paprika
2257,3 tablespoons/60 grams Greek-style yogurt,,, 3 tablespoons/60 grams Greek style yogurt
2258,2 1/2 tablespoons/50 grams tahini,2.5 ,unit,tablespoons/50 grams tahini
2259,1 1/2 tablespoons fresh lemon juice,1.5 tbsp.,tablespoon,fresh lemon juice
2260,"2 garlic cloves, minced",,, 2 garlic cloves
2261,1/4 cup vegetable oil,0.25 cup,cup,vegetable oil
2262,1 pound ground chicken (preferably dark meat),1 lb,pound,ground chicken ( preferably dark meat )
2263,2 teaspoons minced garlic (from 2 cloves),2 tsp.,teaspoon,minced garlic ( from 2 cloves )
2264,2 teaspoons granulated sugar,2 tsp.,teaspoon,granulated sugar
2265,1 teaspoon minced fresh bird’s-eye chile or other fresh chile (from 1 chile),1 tsp.,teaspoon,minced fresh bird ’s eye chile or other fresh chile ( from 1 chile )
2266,"8 ounces green beans, trimmed and cut into 1/2-inch pieces (about 1 1/2 cups)",8 oz,ounce,green beans
2267,3 tablespoons oyster sauce,3 tbsp.,tablespoon,oyster sauce
2268,2 tablespoons fish sauce,2 tbsp.,tablespoon,fish sauce
2269,1 tablespoon Thai seasoning sauce (such as Golden Mountain; see Tip),1 tbsp.,tablespoon,Thai seasoning sauce ( such as Golden Mountain ; see Tip )
2270,1 cup loosely packed basil leaves (preferably Thai basil or holy basil),1 cup,cup,loosely packed basil leaves ( preferably Thai basil or holy basil )
2271,"Ground white pepper, to taste",,, Ground white pepper
2272,"Steamed jasmine rice, for serving",,, Steamed jasmine rice
2273,4 crispy fried eggs (optional),4 ,unit,crispy fried eggs ( optional )
2274,"1/2 cup roughly chopped, toasted nuts (preferably hazelnuts, almonds or pecans)",0.5 cup,cup,roughly chopped
2275,2 tablespoons freshly squeezed lemon juice (from about half a lemon),2 tbsp.,tablespoon,freshly squeezed lemon juice ( from about half a lemon )
2276,3/4 cup plus 1 tablespoon extra-virgin olive oil,0.75 cup,cup,plus 1 tablespoon extra virgin olive oil
2277,Kosher salt and black pepper,,, Kosher salt and black pepper
2278,1 pound cavatappi or other curly pasta,1 lb,pound,cavatappi or other curly pasta
2279,"5 garlic cloves, thinly sliced",,, 5 garlic cloves
2280,1/2 teaspoon chile flakes,0.5 tsp.,teaspoon,chile flakes
2281,"5 packed cups butternut squash, from 1 (2-pound) squash, peeled and grated using the large holes on a box grater or food processor",5 cup,cup,butternut squash
2282,Kosher salt,,, Kosher salt
2283,1 pound rigatoni or penne pasta,1 lb,pound,rigatoni or penne pasta
2284,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
2285,"4 ounces diced pancetta, optional",4 oz,ounce,diced pancetta
2286,"1 medium yellow onion, finely chopped",1 ,unit,medium yellow onion
2287,"2 garlic cloves, finely chopped",,, 2 garlic cloves
2288,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
2289,3/4 cup vodka,0.75 cup,cup,vodka
2290,1 (28-ounce) can crushed tomatoes,28 oz,ounce,can crushed tomatoes
2291,Freshly ground black pepper,,, Freshly ground black pepper
2292,3/4 cup heavy cream,0.75 cup,cup,heavy cream
2293,"1/4 cup grated Grana Padano or Parmesan cheese, plus more for serving",0.25 cup,cup,grated Grana Padano or Parmesan cheese
2294,1 tablespoon roughly chopped fresh oregano,1 tbsp.,tablespoon,roughly chopped fresh oregano
2295,2 tablespoons roughly chopped Italian parsley,2 tbsp.,tablespoon,roughly chopped Italian parsley
2296,2 tablespoons extra-virgin olive oil,2 tbsp.,tablespoon,extra virgin olive oil
2297,"4 ounces guanciale or pancetta, chopped into ¼-inch cubes (3/4 cup)",4 oz,ounce,guanciale or pancetta
2298,"1 (28-ounce) can whole tomatoes, crushed with your hands in a bowl",28 oz,ounce,can whole tomatoes
2299,"1/8 teaspoon black pepper, plus more to taste",0.125 tsp.,teaspoon,black pepper
2300,1/8 teaspoon red-pepper flakes,0.125 tsp.,teaspoon,red pepper flakes
2301,Kosher salt (such as Diamond Crystal),,, Kosher salt (such as Diamond Crystal)
2302,1 pound dried bucatini,1 lb,pound,dried bucatini
2303,"3/4 cup grated Pecorino Romano, plus more for garnish",0.75 cup,cup,grated Pecorino Romano
2304,"Salt, as needed",,, Salt
2305,1/2 pound pasta,0.5 lb,pound,pasta
2306,"3 tablespoons good olive oil, more for drizzling",3 tbsp.,tablespoon,good olive oil
2307,"1/4 to 1/2 teaspoon crushed red chile flakes, to taste",0.25 tsp.,teaspoon,crushed red chile flakes
2308,"4 fat garlic cloves, smashed and peeled",,, 4 fat garlic cloves
2309,"2 tablespoons drained capers, patted dry with a paper towel to encourage browning",2 tbsp.,tablespoon,drained capers
2310,4 anchovy filets,4 ,unit,anchovy filets
2311,"1 small bunch kale, chopped (or use 3 large handfuls chopped kale)",1 ,unit,small bunch kale
2312,Black pepper,,, Black pepper
2313,"Squeeze of lemon, optional",,, Squeeze of lemon
2314,"Grated pecorino or Parmesan cheese, for serving (optional)",,, Grated pecorino or Parmesan cheese
2315,Kosher salt,,, Kosher salt
2316,"1 pound spaghetti, linguine or other long noodle",1 lb,pound,spaghetti
2317,8 tablespoons unsalted butter,8 tbsp.,tablespoon,unsalted butter
2318,"1 cup freshly grated Parmesan, plus more for serving",1 cup,cup,freshly grated Parmesan
2319,Freshly ground black pepper,,, Freshly ground black pepper
2320,1 pound fusilli pasta,1 lb,pound,fusilli pasta
2321,"1 tablespoon extra-virgin olive oil, more for drizzling",1 tbsp.,tablespoon,extra virgin olive oil
2322,"6 ounces pancetta, preferably thick cut, diced",6 oz,ounce,pancetta
2323,"6 garlic cloves, smashed and peeled",,, 6 garlic cloves
2324,Pinch of red pepper flakes,,, Pinch of red pepper flakes
2325,"Fine sea salt and black pepper, as needed",,, Fine sea salt and black pepper
2326,"1 quart cherry or grape tomatoes, halved",1 qt,quart,cherry or grape tomatoes
2327,3 tablespoons butter,3 tbsp.,tablespoon,butter
2328,"Fresh ricotta cheese, for serving (optional)",,, Fresh ricotta cheese
2329,"3 cups whole mint leaves, torn",3 cup,cup,whole mint leaves
2330,"4 scallions, preferably red scallions for color, thinly sliced",4 ,unit,scallions
2331,"Flaky sea salt, to finish",,, Flaky sea salt
2332,"1 medium head cauliflower (2 to 2 1/2 pounds), cored and cut into 3/4-inch florets",1 ,unit,medium head cauliflower ( 2 to 2 1/2 pounds )
2333,"2 to 3 tablespoons olive oil, plus more as needed",2 tbsp.,tablespoon,olive oil
2334,Kosher salt and black pepper,,, Kosher salt and black pepper
2335,"1/2 pound thick-cut bacon, diced",0.5 lb,pound,thick cut bacon
2336,1 packed cup fresh sage leaves,1 cup,cup,fresh sage leaves
2337,"1 pound short pasta, such as gemelli, casarecce or penne",1 lb,pound,short pasta
2338,"Zest and juice of one 1 lemon, separated",,, Zest and juice of one 1 lemon
2339,"1/2 cup grated Parmesan cheese, plus more for serving",0.5 cup,cup,grated Parmesan cheese
2340,Kosher salt,,, Kosher salt
2341,"1 pound dried cavatappi, fusilli or other short, curly noodle",1 lb,pound,dried cavatappi
2342,1/3 cup olive oil,0.333333 cup,cup,olive oil
2343,"12 ounces green olives, such as Castelvetrano or Cerignola, smashed and pitted",12 oz,ounce,green olives
2344,"1 garlic clove, grated or minced",,, 1 garlic clove
2345,"1 lemon, zested and juiced (about 1 tablespoon zest and 3 tablespoons juice)",1 ,unit,lemon
2346,"1/2 teaspoon red-pepper flakes, plus more as desired",0.5 tsp.,teaspoon,red pepper flakes
2347,"1/2 to ¾ cup loosely crumbled or cubed feta, depending on preference",0.5 cup,cup,loosely crumbled or cubed feta
2348,Black pepper,,, Black pepper
2349,Kosher salt,,, Kosher salt
2350,"2 pounds very ripe tomatoes, coarsely chopped",2 lb,pound,very ripe tomatoes
2351,1 teaspoon fresh thyme or oregano leaves,1 tsp.,teaspoon,fresh thyme or oregano leaves
2352,"1/2 teaspoon red-pepper flakes, plus more as needed",0.5 tsp.,teaspoon,red pepper flakes
2353,"2 ounces Parmesan cheese, coarsely grated, plus more as needed",2 oz,ounce,Parmesan cheese
2354,1 pound fusilli or another spiral pasta,1 lb,pound,fusilli or another spiral pasta
2355,"1 (4-ounce) log goat cheese, crumbled",4 oz,ounce,log goat cheese
2356,Kosher salt and black pepper,,, Kosher salt and black pepper
2357,12 ounces mezze rigatoni or other short pasta,12 oz,ounce,mezze rigatoni or other short pasta
2358,4 tablespoons unsalted butter,4 tbsp.,tablespoon,unsalted butter
2359,"1/2 cup roasted salted pistachios, almonds or hazelnuts, chopped",0.5 cup,cup,roasted salted pistachios
2360,"4 garlic cloves, chopped",,, 4 garlic cloves
2361,"2 tablespoons capers, drained",2 tbsp.,tablespoon,capers
2362,"12 ounces spinach, stems trimmed to 1-inch length, or Swiss chard, trimmed and chopped",12 oz,ounce,spinach
2363,"Grated Parmesan, for serving",,, Grated Parmesan
2364,1/4 cup sliced almonds,0.25 cup,cup,sliced almonds
2365,Scant 1/3 cup finely chopped celery leaves or parsley leaves,,, Scant 1/3 cup finely chopped celery leaves or parsley leaves
2366,"1 tablespoon lemon zest (from 1 medium lemon), plus more for serving",1 tbsp.,tablespoon,lemon zest ( from 1 medium lemon )
2367,"1 garlic clove, grated",,, 1 garlic clove
2368,Kosher salt,,, Kosher salt
2369,"1 pound gemelli, campanelle or cavatappi",1 lb,pound,gemelli
2370,"3/4 pound string beans, trimmed and cut into 1-inch pieces",0.75 lb,pound,string beans
2371,"2 tablespoons olive oil, plus more for drizzling",2 tbsp.,tablespoon,olive oil
2372,"2 garlic cloves, thinly sliced",,, 2 garlic cloves
2373,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
2374,4 tablespoons unsalted butter,4 tbsp.,tablespoon,unsalted butter
2375,"1/4 cup grated Pecorino or Parmesan, plus more for serving",0.25 cup,cup,grated Pecorino or Parmesan
2376,"Kosher salt, to taste",,, Kosher salt
2377,"Kosher salt, to taste",,, Kosher salt
2378,1 pound spaghettini or spaghetti,1 lb,pound,spaghettini or spaghetti
2379,1/2 cup extra-virgin olive oil,0.5 cup,cup,extra virgin olive oil
2380,10 anchovy fillets,10 ,unit,anchovy fillets
2381,1/4 cup drained capers,0.25 cup,cup,drained capers
2382,1 cup pitted and sliced green Cerignola or Picholine olives,1 cup,cup,pitted and sliced green Cerignola or Picholine olives
2383,"10 fat green garlic cloves, peeled, sliced 1/4-inch thick or use 8 regular garlic cloves",,, 10 fat green garlic cloves
2384,1/3 cup chopped scallions including greens,0.333333 cup,cup,chopped scallions including greens
2385,1/2 teaspoon crushed red pepper flakes,0.5 tsp.,teaspoon,crushed red pepper flakes
2386,12 cups baby spinach leaves (11 ounces),12 cup,cup,baby spinach leaves ( 11 ounces )
2387,1/2 cup torn basil leaves,0.5 cup,cup,torn basil leaves
2388,1 1/2 pounds butternut squash,1.5 lb,pound,butternut squash
2389,"1/2 cup extra virgin olive oil, more for drizzling",0.5 cup,cup,extra virgin olive oil
2390,"3/4 teaspoon kosher salt, more for squash",0.75 tsp.,teaspoon,kosher salt
2391,Freshly ground black pepper,,, Freshly ground black pepper
2392,"1 small bunch (about 1/2 pound) lacinato kale, center ribs removed",1 ,unit,small bunch ( about 1/2 pound ) lacinato kale
2393,8 ounces pasta (penne rigate works well),8 oz,ounce,pasta ( penne rigate works well )
2394,1/3 cup toasted pine nuts,0.333333 cup,cup,toasted pine nuts
2395,"2 large garlic cloves, roughly chopped",2 ,unit,large garlic cloves
2396,Finely grated zest of 1 lemon,,, Finely grated zest of 1 lemon
2397,"Freshly squeezed lemon juice, to taste",,, Freshly squeezed lemon juice
2398,"Grated Parmesan cheese, for serving",,, Grated Parmesan cheese
2399,Salt and pepper,,, Salt and pepper
2400,"2 garlic cloves, peeled",,, 2 garlic cloves
2401,"1 pound fusilli or other short, curly pasta",1 lb,pound,fusilli or other short
